epoch,step,train_loss_epoch,train_loss_step,train_mape_epoch,train_mape_step,train_r2_epoch,train_r2_step,val_loss,val_mape,val_r2
0,49,,136.3148651123047,,0.8442203998565674,,-383.0231628417969,,,
0,99,,90.1612319946289,,0.6846147179603577,,-263.9689025878906,,,
0,140,,,,,,,44.85871887207031,0.46915826201438904,-126.5540771484375
0,140,114.58758544921875,,0.7617861032485962,,-332.85784912109375,,,,
1,149,,40.157379150390625,,0.4455869197845459,,-156.70338439941406,,,
1,199,,11.856990814208984,,0.2169848382472992,,-48.202796936035156,,,
1,249,,4.176560401916504,,0.12257333099842072,,-10.407170295715332,,,
1,281,,,,,,,3.582322597503662,0.1135561466217041,-9.186199188232422
1,281,14.931633949279785,,0.23252876102924347,,-42.51829147338867,,,,
2,299,,3.4494423866271973,,0.1071462333202362,,-6.324951648712158,,,
2,349,,3.4898123741149902,,0.10566002130508423,,-9.046049118041992,,,
2,399,,2.7211437225341797,,0.09950371086597443,,-7.7551116943359375,,,
2,422,,,,,,,2.499732732772827,0.09572542458772659,-6.107895851135254
2,422,3.105452060699463,,0.1047527939081192,,-8.051581382751465,,,,
3,449,,1.5054149627685547,,0.07062865793704987,,-4.813037872314453,,,
3,499,,2.6205480098724365,,0.10108896344900131,,-9.680362701416016,,,
3,549,,1.88126540184021,,0.07860170304775238,,-3.949045181274414,,,
3,563,,,,,,,1.893334984779358,0.08291462808847427,-4.383626461029053
3,563,2.2715396881103516,,0.08970034867525101,,-5.620141506195068,,,,
4,599,,1.4819931983947754,,0.07717788964509964,,-5.610666275024414,,,
4,649,,1.8223187923431396,,0.08376393467187881,,-4.330394268035889,,,
4,699,,1.0878355503082275,,0.06234577298164368,,-1.5588598251342773,,,
4,704,,,,,,,1.4842294454574585,0.0729280635714531,-3.2203502655029297
4,704,1.7400413751602173,,0.0781070664525032,,-4.071355819702148,,,,
5,749,,1.530510425567627,,0.07547471672296524,,-4.176155090332031,,,
5,799,,0.8051924705505371,,0.05127189680933952,,-1.861199140548706,,,
5,845,,,,,,,1.1908224821090698,0.06452442705631256,-2.386058807373047
5,845,1.3703949451446533,,0.06891532242298126,,-2.9920825958251953,,,,
6,849,,1.7617230415344238,,0.08199512958526611,,-4.0430803298950195,,,
6,899,,0.7644559741020203,,0.052985526621341705,,-1.576598882675171,,,
6,949,,1.3914448022842407,,0.07129207253456116,,-3.033694267272949,,,
6,986,,,,,,,0.9851507544517517,0.058159537613391876,-1.801239013671875
6,986,1.0969164371490479,,0.06129056587815285,,-2.196319818496704,,,,
7,999,,1.219139814376831,,0.06830240041017532,,-1.9562122821807861,,,
7,1049,,1.1001932621002197,,0.060238316655159,,-2.4624600410461426,,,
7,1099,,0.6332093477249146,,0.04498734325170517,,-0.8240081071853638,,,
7,1127,,,,,,,0.7879369258880615,0.05145512893795967,-1.240468978881836
7,1127,0.8923655152320862,,0.0548541285097599,,-1.6001710891723633,,,,
8,1149,,0.940971851348877,,0.05760318785905838,,-2.6307053565979004,,,
8,1199,,1.2083821296691895,,0.06288173049688339,,-3.256518840789795,,,
8,1249,,0.48738282918930054,,0.041081830859184265,,-0.2683100700378418,,,
8,1268,,,,,,,0.6460810303688049,0.04597810283303261,-0.8371070623397827
8,1268,0.7270480394363403,,0.049408506602048874,,-1.118983507156372,,,,
9,1299,,0.47682949900627136,,0.03712623193860054,,-0.3360767364501953,,,
9,1349,,0.48455971479415894,,0.041020750999450684,,-0.38334667682647705,,,
9,1399,,0.4777035415172577,,0.04061831533908844,,0.05265897512435913,,,
9,1409,,,,,,,0.5241178870201111,0.04111577197909355,-0.49030935764312744
9,1409,0.5937944650650024,,0.04429437965154648,,-0.730475664138794,,,,
10,1449,,0.5758477449417114,,0.0435740202665329,,-0.469635009765625,,,
10,1499,,0.41536620259284973,,0.03487459570169449,,-0.43285810947418213,,,
10,1549,,0.42138922214508057,,0.03483515977859497,,-0.12192416191101074,,,
10,1550,,,,,,,0.4295709729194641,0.03702274337410927,-0.22146880626678467
10,1550,0.4854785203933716,,0.03980014845728874,,-0.41452813148498535,,,,
11,1599,,0.26939934492111206,,0.030485056340694427,,0.031575024127960205,,,
11,1649,,0.3885210156440735,,0.03817716985940933,,-0.1426699161529541,,,
11,1691,,,,,,,0.3540249168872833,0.03358958661556244,-0.0066564083099365234
11,1691,0.39671894907951355,,0.03579608350992203,,-0.1557711362838745,,,,
12,1699,,0.3242356777191162,,0.035463593900203705,,-0.04433619976043701,,,
12,1749,,0.2880663275718689,,0.03302045911550522,,0.05672454833984375,,,
12,1799,,0.19797837734222412,,0.025679102167487144,,0.3282572627067566,,,
12,1832,,,,,,,0.28536033630371094,0.030026491731405258,0.1885886788368225
12,1832,0.3248768448829651,,0.032210804522037506,,0.05322200059890747,,,,
13,1849,,0.20678184926509857,,0.028425250202417374,,0.3907451629638672,,,
13,1899,,0.33044594526290894,,0.03276746720075607,,-0.06943726539611816,,,
13,1949,,0.36724746227264404,,0.034433022141456604,,0.1323745846748352,,,
13,1973,,,,,,,0.23258638381958008,0.027126707136631012,0.3386493921279907
13,1973,0.2645551860332489,,0.02907007373869419,,0.2292960286140442,,,,
14,1999,,0.21872293949127197,,0.02400912530720234,,0.19660204648971558,,,
14,2049,,0.20155727863311768,,0.0236048586666584,,0.48753654956817627,,,
14,2099,,0.15949474275112152,,0.02323276177048683,,0.3876239061355591,,,
14,2114,,,,,,,0.1874532848596573,0.024119144305586815,0.4669836163520813
14,2114,0.21584933996200562,,0.026126138865947723,,0.3709319233894348,,,,
15,2149,,0.1624574363231659,,0.02245185896754265,,0.5892117023468018,,,
15,2199,,0.20193344354629517,,0.024368271231651306,,0.2204800248146057,,,
15,2249,,0.16566824913024902,,0.022022193297743797,,0.42057669162750244,,,
15,2255,,,,,,,0.1524137407541275,0.021831927821040154,0.5666173100471497
15,2255,0.17607344686985016,,0.023547030985355377,,0.4867711663246155,,,,
16,2299,,0.108627088367939,,0.019654126837849617,,0.6130776405334473,,,
16,2349,,0.08383791148662567,,0.015338984318077564,,0.737962543964386,,,
16,2396,,,,,,,0.1263301819562912,0.019932791590690613,0.6407848596572876
16,2396,0.14322040975093842,,0.021184872835874557,,0.5826680660247803,,,,
17,2399,,0.17844901978969574,,0.023261282593011856,,0.2470489740371704,,,
17,2449,,0.10960856080055237,,0.018329540267586708,,0.6880484819412231,,,
17,2499,,0.17993023991584778,,0.02573634684085846,,0.5120657086372375,,,
17,2537,,,,,,,0.10341807454824448,0.01785929873585701,0.7059346437454224
17,2537,0.11841455847024918,,0.019131330773234367,,0.6549780964851379,,,,
18,2549,,0.14474943280220032,,0.01971154287457466,,0.5722460746765137,,,
18,2599,,0.09038376808166504,,0.016122059896588326,,0.6526278257369995,,,
18,2649,,0.06947867572307587,,0.015268811024725437,,0.7468952536582947,,,
18,2678,,,,,,,0.08699825406074524,0.016328971832990646,0.7526237368583679
18,2678,0.09791085124015808,,0.017369579523801804,,0.7146385312080383,,,,
19,2699,,0.06587819755077362,,0.014163502492010593,,0.7874879837036133,,,
19,2749,,0.11130537837743759,,0.01853899657726288,,0.6509302854537964,,,
19,2799,,0.05438739433884621,,0.013209918513894081,,0.7966028451919556,,,
19,2819,,,,,,,0.07278499752283096,0.014941437169909477,0.7930386066436768
19,2819,0.08232016116380692,,0.015905335545539856,,0.7600873708724976,,,,
20,2849,,0.07595598697662354,,0.016496064141392708,,0.7653616666793823,,,
20,2899,,0.04650197923183441,,0.012722406536340714,,0.8804271221160889,,,
20,2949,,0.061999931931495667,,0.014332611113786697,,0.8111531734466553,,,
20,2960,,,,,,,0.06207895278930664,0.01369846984744072,0.8234808444976807
20,2960,0.06929223984479904,,0.014563067816197872,,0.7980720400810242,,,,
21,2999,,0.048159461468458176,,0.012335680425167084,,0.8786131739616394,,,
21,3049,,0.049601323902606964,,0.012357603758573532,,0.8547899723052979,,,
21,3099,,0.045497454702854156,,0.01183074340224266,,0.842819094657898,,,
21,3101,,,,,,,0.054400477558374405,0.012908163480460644,0.8453142642974854
21,3101,0.059211935847997665,,0.013395632617175579,,0.82748943567276,,,,
22,3149,,0.07874981313943863,,0.014068898744881153,,0.7524250149726868,,,
22,3199,,0.05194211006164551,,0.013786815106868744,,0.8421846032142639,,,
22,3242,,,,,,,0.047326888889074326,0.011927844025194645,0.8654277920722961
22,3242,0.050837356597185135,,0.012447520159184933,,0.8518463373184204,,,,
23,3249,,0.04811064526438713,,0.013058696873486042,,0.8596680164337158,,,
23,3299,,0.043135955929756165,,0.011591178365051746,,0.8548715114593506,,,
23,3349,,0.05469793081283569,,0.013795199804008007,,0.8152415752410889,,,
23,3383,,,,,,,0.042180392891168594,0.011350779794156551,0.8800616264343262
23,3383,0.04412579908967018,,0.011561727151274681,,0.8714056015014648,,,,
24,3399,,0.037776559591293335,,0.012009426951408386,,0.8785039782524109,,,
24,3449,,0.0385383665561676,,0.010449826717376709,,0.8892841339111328,,,
24,3499,,0.04558968544006348,,0.011807674542069435,,0.8792089819908142,,,
24,3524,,,,,,,0.03686346113681793,0.010416935198009014,0.8951801657676697
24,3524,0.03866800665855408,,0.010826176963746548,,0.8873202204704285,,,,
25,3549,,0.04287009686231613,,0.011052906513214111,,0.8711813688278198,,,
25,3599,,0.017924336716532707,,0.008049797266721725,,0.9560568332672119,,,
25,3649,,0.02598181553184986,,0.00898177083581686,,0.9407576322555542,,,
25,3665,,,,,,,0.03491261228919029,0.010486224666237831,0.9007273316383362
25,3665,0.03482304513454437,,0.010265554301440716,,0.8985245227813721,,,,
26,3699,,0.03461439535021782,,0.010954901576042175,,0.8871567249298096,,,
26,3749,,0.030318252742290497,,0.008621644228696823,,0.8942949771881104,,,
26,3799,,0.04747907444834709,,0.011659806594252586,,0.8669977188110352,,,
26,3806,,,,,,,0.03178687021136284,0.009595934301614761,0.9096152186393738
