epoch,step,test_loss,test_mape,test_r2,train_loss_epoch,train_loss_step,train_mape_epoch,train_mape_step,train_r2_epoch,train_r2_step,val_loss,val_mape,val_r2
0,49,,,,,2.5922555923461914,,0.09156814962625504,,-6.857819557189941,,,
0,99,,,,,1.2161550521850586,,0.0646485760807991,,-3.7571887969970703,,,
0,140,,,,,,,,,,0.8060774803161621,0.052398551255464554,-1.292050838470459
0,140,,,,16.34520149230957,,0.17870773375034332,,-46.63621139526367,,,,
1,149,,,,,0.9221847057342529,,0.05598705634474754,,-1.2451167106628418,,,
1,199,,,,,0.27703359723091125,,0.030787862837314606,,0.18243461847305298,,,
1,249,,,,,0.34729206562042236,,0.027892285957932472,,-0.17946481704711914,,,
1,281,,,,,,,,,,0.24564938247203827,0.02814963273704052,0.30150526762008667
1,281,,,,0.47441476583480835,,0.038882892578840256,,-0.382515549659729,,,,
2,299,,,,,0.1976015865802765,,0.024895183742046356,,0.40940314531326294,,,
2,349,,,,,0.1614961177110672,,0.02355387434363365,,0.40342652797698975,,,
2,399,,,,,0.11524178087711334,,0.01920272596180439,,0.5012556314468384,,,
2,422,,,,,,,,,,0.09790102392435074,0.017460204660892487,0.721622109413147
2,422,,,,0.16370275616645813,,0.022640066221356392,,0.5230422019958496,,,,
3,449,,,,,0.16412557661533356,,0.025033362209796906,,0.45127367973327637,,,
3,499,,,,,0.0837835967540741,,0.01732487417757511,,0.7419717311859131,,,
3,549,,,,,0.10724419355392456,,0.019118430092930794,,0.620478630065918,,,
3,563,,,,,,,,,,0.049725305289030075,0.012454458512365818,0.8586079478263855
3,563,,,,0.07505931705236435,,0.015399273484945297,,0.7813013195991516,,,,
4,599,,,,,0.02277877926826477,,0.008880178444087505,,0.9252987504005432,,,
4,649,,,,,0.046513088047504425,,0.013659125193953514,,0.8789691925048828,,,
4,699,,,,,0.023856516927480698,,0.00812558550387621,,0.8646705746650696,,,
4,704,,,,,,,,,,0.030717264860868454,0.009668164886534214,0.9126566052436829
4,704,,,,0.04230806604027748,,0.011395011097192764,,0.8766980171203613,,,,
5,749,,,,,0.024039052426815033,,0.008874490857124329,,0.9135712385177612,,,
5,799,,,,,0.01980343461036682,,0.008340056985616684,,0.9540572166442871,,,
5,845,,,,,,,,,,0.02644255757331848,0.00877159833908081,0.924811601638794
5,845,,,,0.028569836169481277,,0.009270635433495045,,0.9167600870132446,,,,
6,849,,,,,0.04220812767744064,,0.01200832985341549,,0.879011869430542,,,
6,899,,,,,0.016429875046014786,,0.007420823909342289,,0.9517996311187744,,,
6,949,,,,,0.022719157859683037,,0.007913779467344284,,0.9151175618171692,,,
6,986,,,,,,,,,,0.020509138703346252,0.0076554762199521065,0.9416830539703369
6,986,,,,0.023812998086214066,,0.008313764818012714,,0.9306362271308899,,,,
