epoch,step,train_loss_epoch,train_loss_step,train_mape_epoch,train_mape_step,train_r2_epoch,train_r2_step,val_loss,val_mape,val_r2
10,1499,,0.029627617448568344,,0.008698340505361557,,0.9245834350585938,,,
10,1549,,0.009680177085101604,,0.005469981115311384,,0.9740468263626099,,,
10,1550,,,,,,,0.017978090792894363,0.0067403377033770084,0.9488799571990967
10,1550,0.019304323941469193,,0.007282850798219442,,0.9437443017959595,,,,
11,1599,,0.01042377669364214,,0.006846583914011717,,0.9682588577270508,,,
11,1649,,0.03586476668715477,,0.010495069436728954,,0.8844143748283386,,,
11,1691,,,,,,,0.024791402742266655,0.008062100037932396,0.9295065999031067
11,1691,0.020394744351506233,,0.007266724016517401,,0.940559446811676,,,,
12,1699,,0.01585274003446102,,0.007534824311733246,,0.9096193909645081,,,
12,1749,,0.012319001369178295,,0.006086349952965975,,0.9604594707489014,,,
12,1799,,0.016713865101337433,,0.006686092354357243,,0.9576541781425476,,,
12,1832,,,,,,,0.017719360068440437,0.007054959889501333,0.9496156573295593
12,1832,0.021570516750216484,,0.007562875282019377,,0.9371402859687805,,,,
13,1849,,0.014146842062473297,,0.006112107541412115,,0.9475072026252747,,,
13,1899,,0.022039584815502167,,0.006517286878079176,,0.931448221206665,,,
13,1949,,0.033973634243011475,,0.010221418924629688,,0.8888974189758301,,,
13,1973,,,,,,,0.03459102287888527,0.009290081448853016,0.9016417264938354
13,1973,0.022225432097911835,,0.0074912868440151215,,0.9352448582649231,,,,
14,1999,,0.031065532937645912,,0.007274261675775051,,0.9421435594558716,,,
14,2049,,0.02966492995619774,,0.007984603755176067,,0.8579274415969849,,,
14,2099,,0.023947294801473618,,0.007341981865465641,,0.9418973922729492,,,
14,2114,,,,,,,0.04153519496321678,0.012232737615704536,0.8818962574005127
14,2114,0.020507443696260452,,0.0073982528410851955,,0.9402406811714172,,,,
15,2149,,0.025502890348434448,,0.00853261910378933,,0.92267245054245,,,
15,2199,,0.02166496030986309,,0.008667348884046078,,0.9445831775665283,,,
15,2249,,0.01425211038440466,,0.0066797249019145966,,0.9490993618965149,,,
15,2255,,,,,,,0.023464441299438477,0.00838731974363327,0.9332797527313232
15,2255,0.020491011440753937,,0.007614358328282833,,0.9403054714202881,,,,
16,2299,,0.01801489293575287,,0.00788533128798008,,0.9349159598350525,,,
16,2349,,0.018150676041841507,,0.007808689959347248,,0.9441905617713928,,,
16,2396,,,,,,,0.019734138622879982,0.007315144408494234,0.9438866972923279
16,2396,0.023347990587353706,,0.00824800506234169,,0.9319466948509216,,,,
17,2399,,0.031459663063287735,,0.00935199111700058,,0.8370294570922852,,,
17,2449,,0.03285969793796539,,0.010342814028263092,,0.9246476888656616,,,
17,2499,,0.01958554796874523,,0.007856659591197968,,0.9406858682632446,,,
17,2537,,,,,,,0.017748968675732613,0.007017334457486868,0.9495314955711365
17,2537,0.02629389800131321,,0.008766395039856434,,0.9233787655830383,,,,
18,2549,,0.008153015747666359,,0.004847795236855745,,0.9783291816711426,,,
18,2599,,0.013981178402900696,,0.006739575415849686,,0.9645707607269287,,,
18,2649,,0.021159660071134567,,0.006635607685893774,,0.9504123330116272,,,
18,2678,,,,,,,0.03011249378323555,0.009717386215925217,0.9143762588500977
18,2678,0.024334806948900223,,0.0081275450065732,,0.9290646314620972,,,,
19,2699,,0.0243274737149477,,0.009608727879822254,,0.9270832538604736,,,
19,2749,,0.0390448272228241,,0.00946660153567791,,0.7915743589401245,,,
19,2799,,0.02716217190027237,,0.008748703636229038,,0.9197357892990112,,,
19,2819,,,,,,,0.028810668736696243,0.009301938116550446,0.9180779457092285
19,2819,0.02269338071346283,,0.007971999235451221,,0.9338974952697754,,,,
20,2849,,0.008222314529120922,,0.0052012293599545956,,0.9789294600486755,,,
20,2899,,0.012793189845979214,,0.006804054602980614,,0.9548778533935547,,,
20,2949,,0.02828962355852127,,0.010295817628502846,,0.9278154373168945,,,
20,2960,,,,,,,0.021722035482525826,0.008284389041364193,0.9382342100143433
20,2960,0.02165198139846325,,0.007874583825469017,,0.9369156360626221,,,,
21,2999,,0.01843896135687828,,0.00785895437002182,,0.9471175670623779,,,
21,3049,,0.030239731073379517,,0.007370675448328257,,0.9246324300765991,,,
21,3099,,0.017630252987146378,,0.007891539484262466,,0.9393323063850403,,,
21,3101,,,,,,,0.017397496849298477,0.006923706736415625,0.9505308866500854
21,3101,0.022237403318285942,,0.008043671026825905,,0.9351916313171387,,,,
22,3149,,0.025540942326188087,,0.00797884538769722,,0.9238396883010864,,,
22,3199,,0.03148467466235161,,0.008921556174755096,,0.9160408973693848,,,
22,3242,,,,,,,0.015612458810210228,0.006643151864409447,0.9556065797805786
22,3242,0.020137479528784752,,0.0075853136368095875,,0.941325843334198,,,,
23,3249,,0.022424057126045227,,0.007424079813063145,,0.927638828754425,,,
23,3299,,0.03139196336269379,,0.011104539036750793,,0.8923835754394531,,,
23,3349,,0.03255675733089447,,0.010025229305028915,,0.9059780836105347,,,
23,3383,,,,,,,0.02774074114859104,0.007780713029205799,0.9211202263832092
23,3383,0.027721641585230827,,0.008993403054773808,,0.9192182421684265,,,,
24,3399,,0.025314241647720337,,0.007409930229187012,,0.9343154430389404,,,
24,3449,,0.021472984924912453,,0.00722996611148119,,0.9430169463157654,,,
24,3499,,0.018795987591147423,,0.00790317915380001,,0.93780916929245,,,
24,3524,,,,,,,0.029211297631263733,0.00861550122499466,0.9169387817382812
24,3524,0.025029607117176056,,0.00845757033675909,,0.9270718097686768,,,,
25,3549,,0.021628379821777344,,0.008128156885504723,,0.9431569576263428,,,
25,3599,,0.04431695491075516,,0.01209347415715456,,0.8280530571937561,,,
25,3649,,0.00873328186571598,,0.00528980977833271,,0.9633558988571167,,,
25,3665,,,,,,,0.018519729375839233,0.007219623774290085,0.9473398327827454
25,3665,0.02697599306702614,,0.008757476694881916,,0.9213942885398865,,,,
26,3699,,0.027798866853117943,,0.007455949671566486,,0.9275442957878113,,,
26,3749,,0.04177383705973625,,0.01057315431535244,,0.8962917327880859,,,
26,3799,,0.0155682023614645,,0.006856212858110666,,0.9410107731819153,,,
26,3806,,,,,,,0.029073819518089294,0.008474881760776043,0.9173296689987183
26,3806,0.0230540968477726,,0.00817298423498869,,0.9328196048736572,,,,
27,3849,,0.024887170642614365,,0.008293043822050095,,0.90809166431427,,,
27,3899,,0.039755575358867645,,0.011132143437862396,,0.9115726947784424,,,
27,3947,,,,,,,0.03175843507051468,0.009669278748333454,0.909696102142334
27,3947,0.027433400973677635,,0.008946876972913742,,0.9200517535209656,,,,
28,3949,,0.028406282886862755,,0.009294264949858189,,0.9117332696914673,,,
28,3999,,0.022077511996030807,,0.008217234164476395,,0.9208018183708191,,,
28,4049,,0.014412718825042248,,0.007121582981199026,,0.965796947479248,,,
28,4088,,,,,,,0.032026372849941254,0.009832974523305893,0.9089342355728149
28,4088,0.02441413514316082,,0.008411373943090439,,0.9288507103919983,,,,
29,4099,,0.03237143158912659,,0.009860113263130188,,0.9062820076942444,,,
29,4149,,0.01655976101756096,,0.006581665948033333,,0.9160534739494324,,,
29,4199,,0.022954439744353294,,0.009298793040215969,,0.9082662463188171,,,
29,4229,,,,,,,0.023938829079270363,0.008118417114019394,0.9319308400154114
29,4229,0.030619462952017784,,0.009600098244845867,,0.9107702970504761,,,,
30,4249,,0.018088750541210175,,0.007428194396197796,,0.9442659020423889,,,
30,4299,,0.010591503232717514,,0.005680246278643608,,0.9497156739234924,,,
30,4349,,0.034234412014484406,,0.009983968921005726,,0.9159485101699829,,,
30,4370,,,,,,,0.015698552131652832,0.006477337330579758,0.9553617835044861
30,4370,0.0251944437623024,,0.008592438884079456,,0.9265766739845276,,,,
31,4399,,0.02226008102297783,,0.009059660136699677,,0.9383520483970642,,,
31,4449,,0.01645679771900177,,0.007610653527081013,,0.9476195573806763,,,
31,4499,,0.01725393533706665,,0.008130952715873718,,0.9331586956977844,,,
31,4511,,,,,,,0.030112706124782562,0.010238870047032833,0.9143756628036499
31,4511,0.02235245890915394,,0.008045374415814877,,0.9348800182342529,,,,
32,4549,,0.012602315284311771,,0.0060878898948431015,,0.9562388062477112,,,
32,4599,,0.05497513711452484,,0.010844659991562366,,0.7903125286102295,,,
32,4649,,0.04463282227516174,,0.009587405249476433,,0.8712393045425415,,,
32,4652,,,,,,,0.03205285593867302,0.010446609929203987,0.9088588953018188
32,4652,0.04063636064529419,,0.010504418052732944,,0.8816083073616028,,,,
33,4699,,0.044668350368738174,,0.012832753360271454,,0.8179713487625122,,,
33,4749,,0.018191326409578323,,0.007808622904121876,,0.9363521933555603,,,
33,4793,,,,,,,0.032788608223199844,0.010099021717905998,0.9067668318748474
33,4793,0.032933108508586884,,0.010026475414633751,,0.904004693031311,,,,
34,4799,,0.03574362397193909,,0.011263682506978512,,0.9135292172431946,,,
34,4849,,0.02949121594429016,,0.011134568601846695,,0.92197585105896,,,
34,4899,,0.054777152836322784,,0.014320772141218185,,0.7731086015701294,,,
34,4934,,,,,,,0.03379305452108383,0.010012568905949593,0.903910756111145
34,4934,0.02803470566868782,,0.009039374068379402,,0.9182795286178589,,,,
35,4949,,0.029746029525995255,,0.010042117908596992,,0.881081223487854,,,
35,4999,,0.027454599738121033,,0.009055394679307938,,0.9090683460235596,,,
35,5049,,0.02224554680287838,,0.008329346776008606,,0.9270875453948975,,,
35,5075,,,,,,,0.02012738212943077,0.007984074763953686,0.9427685737609863
35,5075,0.03190131485462189,,0.00983446091413498,,0.9070197343826294,,,,
36,5099,,0.08440442383289337,,0.017495088279247284,,0.6800550222396851,,,
36,5149,,0.0291203074157238,,0.008326813578605652,,0.9176585078239441,,,
36,5199,,0.014282763004302979,,0.006894500460475683,,0.9600070714950562,,,
36,5216,,,,,,,0.023923564702272415,0.007977715693414211,0.9319742321968079
36,5216,0.023309851065278053,,0.008241839706897736,,0.9320880770683289,,,,
37,5249,,0.028879502788186073,,0.008344832807779312,,0.8719713687896729,,,
37,5299,,0.02278234250843525,,0.007833767682313919,,0.9453690648078918,,,
37,5349,,0.016608309000730515,,0.007323989644646645,,0.947216808795929,,,
37,5357,,,,,,,0.01770707778632641,0.00690469890832901,0.9496505856513977
37,5357,0.022724976763129234,,0.008021889254450798,,0.9338001012802124,,,,
38,5399,,0.02286824956536293,,0.008835015818476677,,0.9362257719039917,,,
38,5449,,0.016074886545538902,,0.00775534613057971,,0.9498173594474792,,,
38,5498,,,,,,,0.03692485764622688,0.010485351085662842,0.8950055837631226
38,5498,0.02686646766960621,,0.008905159309506416,,0.921716570854187,,,,
39,5499,,0.02274245396256447,,0.0087179746478796,,0.9324702024459839,,,
39,5549,,0.03460879251360893,,0.009112833999097347,,0.8992796540260315,,,
39,5599,,0.017433641478419304,,0.006857551168650389,,0.9451918601989746,,,
39,5639,,,,,,,0.02659345231950283,0.009025265462696552,0.9243825078010559
39,5639,0.028417116031050682,,0.009351398795843124,,0.9172150492668152,,,,
40,5649,,0.025916822254657745,,0.008946841582655907,,0.9067381620407104,,,
40,5699,,0.04249478504061699,,0.0119157824665308,,0.8678558468818665,,,
