epoch,step,train_loss_epoch,train_loss_step,train_mape_epoch,train_mape_step,train_r2_epoch,train_r2_step,val_loss,val_mape,val_r2
0,49,,2.695739507675171,,0.09768063575029373,,-7.233582496643066,,,
0,99,,0.8978287577629089,,0.05785936862230301,,-1.3807446956634521,,,
0,140,,,,,,,0.7912507653236389,0.05173518881201744,-1.249891757965088
0,140,16.27139663696289,,0.1757574826478958,,-46.424949645996094,,,,
1,149,,0.7089806795120239,,0.05050553381443024,,-1.1783289909362793,,,
1,199,,0.3260081112384796,,0.02994893677532673,,0.12178283929824829,,,
1,249,,0.3869636058807373,,0.03296753019094467,,0.05927562713623047,,,
1,281,,,,,,,0.23606356978416443,0.02778690494596958,0.3287621736526489
1,281,0.453823059797287,,0.03792125731706619,,-0.32272207736968994,,,,
2,299,,0.2139611542224884,,0.025395391508936882,,0.3847501873970032,,,
2,349,,0.25463199615478516,,0.02715407684445381,,0.04897916316986084,,,
2,399,,0.10436178743839264,,0.019417591392993927,,0.6906903982162476,,,
2,422,,,,,,,0.09944553673267365,0.018202492967247963,0.7172303795814514
2,422,0.16417653858661652,,0.02281676046550274,,0.5215843915939331,,,,
3,449,,0.13892683386802673,,0.020221415907144547,,0.47408103942871094,,,
3,499,,0.07249350845813751,,0.017299138009548187,,0.8118590712547302,,,
3,549,,0.06987038999795914,,0.014632375910878181,,0.7197830080986023,,,
3,563,,,,,,,0.050924886018037796,0.012640215456485748,0.855197012424469
3,563,0.07873604446649551,,0.015793584287166595,,0.7705050110816956,,,,
4,599,,0.04358576610684395,,0.012395897880196571,,0.8862430453300476,,,
4,649,,0.0351814404129982,,0.011036323383450508,,0.9133442044258118,,,
4,699,,0.020629439502954483,,0.007845825515687466,,0.9243695139884949,,,
4,704,,,,,,,0.03702632710337639,0.011074225418269634,0.8947170376777649
4,704,0.04394196346402168,,0.011735609732568264,,0.8719620704650879,,,,
5,749,,0.02853289619088173,,0.009966243989765644,,0.8848138451576233,,,
5,799,,0.0313270278275013,,0.009345974773168564,,0.8602417707443237,,,
5,845,,,,,,,0.02301652356982231,0.00827525369822979,0.9345533847808838
5,845,0.02925778366625309,,0.009394415654242039,,0.9147591590881348,,,,
6,849,,0.0195021890103817,,0.0077003249898552895,,0.928059458732605,,,
6,899,,0.021824005991220474,,0.009208614937961102,,0.9386366009712219,,,
6,949,,0.014545097015798092,,0.006770160049200058,,0.9627223014831543,,,
6,986,,,,,,,0.023662911728024483,0.008281867951154709,0.9327154159545898
6,986,0.02406204119324684,,0.008392044343054295,,0.9299023151397705,,,,
7,999,,0.01179991289973259,,0.006484846584498882,,0.9658488035202026,,,
