epoch,step,test_loss,test_mape,test_r2,train_loss_epoch,train_loss_step,train_mape_epoch,train_mape_step,train_r2_epoch,train_r2_step,val_loss,val_mape,val_r2
0,49,,,,,5.507078170776367,,0.14041754603385925,,-18.748939514160156,,,
0,99,,,,,1.4149386882781982,,0.06498894095420837,,-4.373126983642578,,,
0,140,,,,,,,,,,0.9595857858657837,0.055983610451221466,-1.728545904159546
0,140,,,,16.766584396362305,,0.18424765765666962,,-47.86626052856445,,,,
1,149,,,,,0.7206745147705078,,0.04766131937503815,,-1.1015450954437256,,,
1,199,,,,,0.4727928042411804,,0.037342533469200134,,-0.09747278690338135,,,
1,249,,,,,0.25212007761001587,,0.03149831295013428,,0.0371246337890625,,,
1,281,,,,,,,,,,0.30583932995796204,0.0313132219016552,0.13035744428634644
1,281,,,,0.5606058239936829,,0.041995227336883545,,-0.6333588361740112,,,,
2,299,,,,,0.24698346853256226,,0.026653490960597992,,0.26552730798721313,,,
2,349,,,,,0.28206735849380493,,0.03147071972489357,,0.2576674222946167,,,
2,399,,,,,0.11846566200256348,,0.020430002361536026,,0.5908855199813843,,,
2,422,,,,,,,,,,0.12622331082820892,0.020433295518159866,0.6410887837409973
2,422,,,,0.20017009973526,,0.0250240545719862,,0.4168866276741028,,,,
3,449,,,,,0.0870642364025116,,0.018740355968475342,,0.80335533618927,,,
3,499,,,,,0.08266863226890564,,0.016468357294797897,,0.7985209226608276,,,
3,549,,,,,0.08649802207946777,,0.016612790524959564,,0.6130820512771606,,,
3,563,,,,,,,,,,0.055079855024814606,0.013049832545220852,0.8433824777603149
3,563,,,,0.08915389329195023,,0.016825929284095764,,0.7401711940765381,,,,
4,599,,,,,0.046553678810596466,,0.011604830622673035,,0.8085022568702698,,,
4,649,,,,,0.04050791263580322,,0.01068833190947771,,0.8773741722106934,,,
4,699,,,,,0.04109201207756996,,0.012358377687633038,,0.8584640026092529,,,
4,704,,,,,,,,,,0.03684499114751816,0.010661532171070576,0.8952326774597168
4,704,,,,0.04478059336543083,,0.011846926063299179,,0.8694921135902405,,,,
5,749,,,,,0.07486528903245926,,0.012548364698886871,,0.7316576242446899,,,
5,799,,,,,0.02780820056796074,,0.01007518544793129,,0.9147796034812927,,,
5,845,,,,,,,,,,0.022916320711374283,0.00816801656037569,0.9348382949829102
5,845,,,,0.03208058699965477,,0.00986388884484768,,0.9065085649490356,,,,
6,849,,,,,0.030383162200450897,,0.008724343962967396,,0.9122282266616821,,,
6,899,,,,,0.02856386825442314,,0.009862137027084827,,0.929551362991333,,,
6,949,,,,,0.03717759996652603,,0.010919766500592232,,0.8584023118019104,,,
6,986,,,,,,,,,,0.03276048228144646,0.009294900111854076,0.906846821308136
6,986,,,,0.025696584954857826,,0.008724557235836983,,0.9251223802566528,,,,
7,999,,,,,0.04440438002347946,,0.010624909773468971,,0.8588091135025024,,,
7,1049,,,,,0.041186220943927765,,0.009993819519877434,,0.8498286008834839,,,
7,1099,,,,,0.024723999202251434,,0.007771848700940609,,0.9237321019172668,,,
7,1127,,,,,,,,,,0.018989913165569305,0.007371137849986553,0.9460029006004333
7,1127,,,,0.02290399931371212,,0.008122675120830536,,0.9332650899887085,,,,
8,1149,,,,,0.015650222077965736,,0.007066033314913511,,0.9321702718734741,,,
8,1199,,,,,0.018781427294015884,,0.0082552470266819,,0.9189103841781616,,,
8,1249,,,,,0.020546451210975647,,0.007706762291491032,,0.9348084330558777,,,
8,1268,,,,,,,,,,0.019296996295452118,0.007194421254098415,0.9451297521591187
8,1268,,,,0.02047410048544407,,0.007663772441446781,,0.9403233528137207,,,,
9,1299,,,,,0.01589806191623211,,0.007333606481552124,,0.9608501195907593,,,
9,1349,,,,,0.02894735336303711,,0.008480114862322807,,0.9061170220375061,,,
9,1399,,,,,0.012027542106807232,,0.006180151365697384,,0.964333176612854,,,
9,1409,,,,,,,,,,0.019368385896086693,0.00745779974386096,0.9449267387390137
9,1409,,,,0.019737496972084045,,0.007350664120167494,,0.9424912929534912,,,,
10,1449,,,,,0.016647640615701675,,0.00711900694295764,,0.9344418048858643,,,
10,1499,,,,,0.011814221739768982,,0.0057617309503257275,,0.9638383388519287,,,
10,1549,,,,,0.011957354843616486,,0.006092725321650505,,0.9711569547653198,,,
10,1550,,,,,,,,,,0.022684160619974136,0.008020526729524136,0.9354984760284424
10,1550,,,,0.0185024905949831,,0.007114056497812271,,0.9460809826850891,,,,
11,1599,,,,,0.018545154482126236,,0.008306935429573059,,0.9485772848129272,,,
11,1649,,,,,0.017740756273269653,,0.007460889406502247,,0.9306372404098511,,,
11,1691,,,,,,,,,,0.0193992517888546,0.007177483756095171,0.9448389410972595
11,1691,,,,0.019343456253409386,,0.007334154564887285,,0.9436257481575012,,,,
12,1699,,,,,0.028832312673330307,,0.00940451305359602,,0.917612612247467,,,
12,1749,,,,,0.011035013943910599,,0.005782507825642824,,0.9711036086082458,,,
12,1799,,,,,0.034138813614845276,,0.009418596513569355,,0.9170071482658386,,,
12,1832,,,,,,,,,,0.02057773619890213,0.007269518915563822,0.9414879679679871
12,1832,,,,0.020628008991479874,,0.007482343353331089,,0.9398917555809021,,,,
13,1849,,,,,0.030643295496702194,,0.009730511344969273,,0.8960000276565552,,,
13,1899,,,,,0.01294020563364029,,0.006046338472515345,,0.951481819152832,,,
13,1949,,,,,0.01361799892038107,,0.006427011452615261,,0.9407902359962463,,,
13,1973,,,,,,,,,,0.021371787413954735,0.008129565976560116,0.9392301440238953
13,1973,,,,0.01898306794464588,,0.007202135864645243,,0.9446871876716614,,,,
14,1999,,,,,0.016684947535395622,,0.0075314161367714405,,0.9452829957008362,,,
14,2049,,,,,0.025216326117515564,,0.008116049692034721,,0.9471547603607178,,,
14,2099,,,,,0.01258663646876812,,0.0063332971185445786,,0.9602851271629333,,,
14,2114,,,,,,,,,,0.01639661379158497,0.006476792972534895,0.953376829624176
14,2114,,,,0.019979916512966156,,0.007416733540594578,,0.9417661428451538,,,,
15,2149,,,,,0.029672132804989815,,0.009394239634275436,,0.9186906814575195,,,
15,2199,,,,,0.02249029465019703,,0.008328846655786037,,0.9377776384353638,,,
15,2249,,,,,0.02153932861983776,,0.007451687008142471,,0.94784015417099,,,
15,2255,,,,,,,,,,0.03908751532435417,0.009564562700688839,0.8888561129570007
15,2255,,,,0.021637706086039543,,0.007768258452415466,,0.9369368553161621,,,,
16,2299,,,,,0.025752482935786247,,0.008446667343378067,,0.9472143650054932,,,
16,2349,,,,,0.018043598160147667,,0.006206226535141468,,0.9040408134460449,,,
16,2396,,,,,,,,,,0.01434333249926567,0.0059473589062690735,0.9592152833938599
16,2396,,,,0.020807327702641487,,0.007559517864137888,,0.939369261264801,,,,
17,2399,,,,,0.020451273769140244,,0.00864473357796669,,0.9527949094772339,,,
17,2449,,,,,0.009875437244772911,,0.0057217879220843315,,0.9673643708229065,,,
17,2499,,,,,0.020978521555662155,,0.007998837158083916,,0.9292846322059631,,,
17,2537,,,,,,,,,,0.032579436898231506,0.009736664593219757,0.907361626625061
17,2537,,,,0.02413841523230076,,0.008315036073327065,,0.9296542406082153,,,,
18,2549,,,,,0.02246866002678871,,0.00887285079807043,,0.8989981412887573,,,
18,2599,,,,,0.028462741523981094,,0.008449237793684006,,0.8850545883178711,,,
18,2649,,,,,0.03240837901830673,,0.009697563014924526,,0.9096513986587524,,,
18,2678,,,,,,,,,,0.025408754125237465,0.009064982645213604,0.9277511835098267
18,2678,,,,0.025418590754270554,,0.008739719167351723,,0.9259414076805115,,,,
19,2699,,,,,0.026221157982945442,,0.006359166000038385,,0.923956573009491,,,
19,2749,,,,,0.011481491848826408,,0.005948535166680813,,0.9543637037277222,,,
19,2799,,,,,0.03476327657699585,,0.01081177033483982,,0.8994861841201782,,,
19,2819,,,,,,,,,,0.02157222479581833,0.008087998256087303,0.938660204410553
19,2819,,,,0.02779216691851616,,0.00901762954890728,,0.9189963936805725,,,,
20,2849,,,,,0.056449342519044876,,0.01246616430580616,,0.7590867280960083,,,
20,2899,,,,,0.01512814499437809,,0.006524032447487116,,0.9538651704788208,,,
20,2949,,,,,0.03086768090724945,,0.010098505765199661,,0.9336674213409424,,,
20,2960,,,,,,,,,,0.016865836456418037,0.006782601121813059,0.9520426392555237
20,2960,,,,0.031911395490169525,,0.009687154553830624,,0.9070467948913574,,,,
21,2999,,,,,0.024301275610923767,,0.008726795203983784,,0.9293649792671204,,,
21,3049,,,,,0.020890727639198303,,0.008978700265288353,,0.941546618938446,,,
21,3099,,,,,0.020421206951141357,,0.008753392845392227,,0.9445000886917114,,,
21,3101,,,,,,,,,,0.04239979758858681,0.01210307702422142,0.8794378042221069
21,3101,,,,0.02377316728234291,,0.008183109574019909,,0.9307550191879272,,,,
22,3149,,,,,0.015149167738854885,,0.007255882024765015,,0.9555786848068237,,,
22,3199,,,,,0.01862017624080181,,0.007376207038760185,,0.944309413433075,,,
22,3242,,,,,,,,,,0.026562782004475594,0.008824054151773453,0.9244697093963623
22,3242,,,,0.02697143517434597,,0.00862165167927742,,0.9214012026786804,,,,
23,3249,,,,,0.00598920090124011,,0.004664452280849218,,0.9835990071296692,,,
23,3299,,,,,0.016500819474458694,,0.0073020984418690205,,0.9401451349258423,,,
23,3349,,,,,0.05382806807756424,,0.01492562796920538,,0.8327957391738892,,,
23,3383,,,,,,,,,,0.023864487186074257,0.007492365315556526,0.9321422576904297
23,3383,,,,0.02725754678249359,,0.008948483504354954,,0.9205770492553711,,,,
24,3399,,,,,0.026140861213207245,,0.009348850697278976,,0.9144101142883301,,,
24,3449,,,,,0.023824989795684814,,0.00853089988231659,,0.9214274287223816,,,
24,3499,,,,,0.0348891019821167,,0.00948651134967804,,0.9285739064216614,,,
24,3524,,,,,,,,,,0.020680058747529984,0.008082536049187183,0.9411970376968384
24,3524,,,,0.027198240160942078,,0.009059804491698742,,0.9207306504249573,,,,
25,3549,,,,,0.014682991430163383,,0.0066065192222595215,,0.9089195728302002,,,
25,3599,,,,,0.02420009858906269,,0.00945335254073143,,0.9285917282104492,,,
25,3649,,,,,0.019391972571611404,,0.008088508620858192,,0.9314708709716797,,,
25,3665,,,,,,,,,,0.02893051505088806,0.00975732784718275,0.9177371859550476
25,3665,,,,0.025452492758631706,,0.008663389831781387,,0.925830602645874,,,,
26,3699,,,,,0.05976855754852295,,0.012775152921676636,,0.7957879304885864,,,
26,3749,,,,,0.03172971308231354,,0.010613830760121346,,0.9147875905036926,,,
26,3799,,,,,0.057959336787462234,,0.011367150582373142,,0.8373962640762329,,,
26,3806,,,,,,,,,,0.016623858362436295,0.006336628925055265,0.9527307152748108
26,3806,,,,0.024488521739840508,,0.00859240721911192,,0.9286194443702698,,,,
27,3849,,,,,0.023925159126520157,,0.008640652522444725,,0.9166289567947388,,,
27,3899,,,,,0.018778102472424507,,0.006892716977745295,,0.9489762783050537,,,
27,3947,,,,,,,,,,0.01891367696225643,0.007340764626860619,0.9462196826934814
27,3947,,,,0.02343357913196087,,0.007955130189657211,,0.931694507598877,,,,
28,3949,,,,,0.014490094035863876,,0.0061310064047575,,0.9661779403686523,,,
28,3999,,,,,0.03813168406486511,,0.010843285359442234,,0.9039179682731628,,,
28,4049,,,,,0.01198246143758297,,0.00627248827368021,,0.9682431817054749,,,
28,4088,,,,,,,,,,0.015513580292463303,0.006471303757280111,0.9558877348899841
28,4088,,,,0.02412944659590721,,0.00840652547776699,,0.9297031164169312,,,,
29,4099,,,,,0.02803225815296173,,0.006926189176738262,,0.8971836566925049,,,
29,4149,,,,,0.0377100333571434,,0.009978238493204117,,0.8885668516159058,,,
29,4199,,,,,0.02131708338856697,,0.008283409290015697,,0.9424448609352112,,,
29,4229,,,,,,,,,,0.02877347730100155,0.010044150985777378,0.9181836843490601
29,4229,,,,0.02653680555522442,,0.008784466423094273,,0.9226802587509155,,,,
30,4249,,,,,0.022817537188529968,,0.007903247140347958,,0.930044412612915,,,
30,4299,,,,,0.028114523738622665,,0.009224227629601955,,0.9243786931037903,,,
30,4349,,,,,0.028966831043362617,,0.00878017209470272,,0.9321283102035522,,,
30,4370,,,,,,,,,,0.028978871181607246,0.008425166830420494,0.9175996780395508
30,4370,,,,0.027517978101968765,,0.0090608736500144,,0.9198117256164551,,,,
31,4399,,,,,0.020313959568738937,,0.006704789120703936,,0.9321390986442566,,,
31,4449,,,,,0.009637949988245964,,0.005629867315292358,,0.9775203466415405,,,
31,4499,,,,,0.021490540355443954,,0.00790107250213623,,0.9392038583755493,,,
31,4511,,,,,,,,,,0.027866199612617493,0.008817353285849094,0.9207634925842285
31,4511,,,,0.022450031712651253,,0.007960071787238121,,0.9345666766166687,,,,
32,4549,,,,,0.04467502608895302,,0.010951925069093704,,0.8972153067588806,,,
32,4599,,,,,0.017517952248454094,,0.007885436527431011,,0.9353317022323608,,,
32,4649,,,,,0.017031781375408173,,0.007619916461408138,,0.9543944597244263,,,
32,4652,,,,,,,,,,0.020739659667015076,0.007988840341567993,0.9410275816917419
32,4652,,,,0.025908833369612694,,0.008779441937804222,,0.924494743347168,,,,
33,4699,,,,,0.030369393527507782,,0.008490797132253647,,0.9219464063644409,,,
33,4749,,,,,0.020859114825725555,,0.0071533131413161755,,0.9333192110061646,,,
33,4793,,,,,,,,,,0.02387472614645958,0.00900405552238226,0.9321131110191345
33,4793,,,,0.02684134803712368,,0.008771873079240322,,0.921783447265625,,,,
34,4799,,,,,0.013300529681146145,,0.006579533219337463,,0.9588624238967896,,,
34,4849,,,,,0.017877066507935524,,0.007744171656668186,,0.9488276243209839,,,
34,4899,,,,,0.021844040602445602,,0.009062058292329311,,0.9366813898086548,,,
34,4934,,,,,,,,,,0.057721786201000214,0.014436112716794014,0.8358702659606934
34,4934,,,,0.03353987634181976,,0.009960748255252838,,0.902243971824646,,,,
35,4949,,,,,0.027870547026395798,,0.010195128619670868,,0.8579685688018799,,,
35,4999,,,,,0.020125005394220352,,0.009045351296663284,,0.9288190007209778,,,
35,5049,,,,,0.025466859340667725,,0.008519882336258888,,0.9398559927940369,,,
35,5075,,,,,,,,,,0.019179817289114,0.007463738787919283,0.9454629421234131
35,5075,,,,0.03344634547829628,,0.009953862987458706,,0.9025362730026245,,,,
36,5099,,,,,0.02102811448276043,,0.007309694774448872,,0.9263757467269897,,,
36,5149,,,,,0.050361476838588715,,0.013032376766204834,,0.8553748726844788,,,
36,5199,,,,,0.02721620537340641,,0.00784445833414793,,0.9231884479522705,,,
36,5216,,,,,,,,,,0.022604750469326973,0.00797236803919077,0.9357242584228516
36,5216,,,,0.02261286787688732,,0.008205943740904331,,0.9340920448303223,,,,
37,5249,,,,,0.012297341600060463,,0.0071745929308235645,,0.967212438583374,,,
37,5299,,,,,0.017488567158579826,,0.008022566325962543,,0.9489769339561462,,,
37,5349,,,,,0.02328847348690033,,0.006831272505223751,,0.9333086013793945,,,
37,5357,,,,,,,,,,0.01847354881465435,0.0066365026868879795,0.9474711418151855
37,5357,,,,0.025920316576957703,,0.00873368326574564,,0.9244856834411621,,,,
38,5399,,,,,0.04584196209907532,,0.013105831108987331,,0.8475903272628784,,,
38,5449,,,,,0.031073518097400665,,0.010723760351538658,,0.9144786596298218,,,
38,5498,,,,,,,,,,0.026116224005818367,0.008692136034369469,0.9257395267486572
38,5498,,,,0.0342613086104393,,0.010007251054048538,,0.9001695513725281,,,,
39,5499,,,,,0.011165915057063103,,0.005299062468111515,,0.9640355110168457,,,
39,5549,,,,,0.013614376075565815,,0.006668995134532452,,0.9605259895324707,,,
39,5599,,,,,0.006243872921913862,,0.004952556453645229,,0.9826743006706238,,,
39,5639,,,,,,,,,,0.03748515620827675,0.011349378153681755,0.8934123516082764
39,5639,,,,0.02527156099677086,,0.008634611032903194,,0.926345944404602,,,,
40,5649,,,,,0.020915210247039795,,0.008207970298826694,,0.9391422271728516,,,
40,5699,,,,,0.014715793542563915,,0.007222553249448538,,0.9408262372016907,,,
40,5749,,,,,0.03827912360429764,,0.010457989759743214,,0.913744330406189,,,
40,5780,,,,,,,,,,0.029839662835001945,0.00981538463383913,0.9151520729064941
40,5780,,,,0.030021758750081062,,0.009782863780856133,,0.9125227332115173,,,,
41,5799,,,,,0.01824820600450039,,0.007440727669745684,,0.9420134425163269,,,
41,5849,,,,,0.029880516231060028,,0.00887947715818882,,0.9120164513587952,,,
41,5899,,,,,0.02340960130095482,,0.008267756551504135,,0.9327235817909241,,,
41,5921,,,,,,,,,,0.022812532261013985,0.007626097649335861,0.9351334571838379
41,5921,,,,0.022720767185091972,,0.008000824600458145,,0.9337882995605469,,,,
42,5949,,,,,0.016882460564374924,,0.0075462074019014835,,0.9534751176834106,,,
42,5999,,,,,0.034521255642175674,,0.011893915012478828,,0.8956175446510315,,,
42,6049,,,,,0.019688576459884644,,0.008693665266036987,,0.9096737504005432,,,
42,6062,,,,,,,,,,0.02742071822285652,0.009295097552239895,0.9220302104949951
42,6062,,,,0.02620841935276985,,0.008919773623347282,,0.923621654510498,,,,
43,6099,,,,,0.03393978998064995,,0.01002364419400692,,0.9090200662612915,,,
43,6149,,,,,0.02356182225048542,,0.009151671081781387,,0.9428580403327942,,,
43,6199,,,,,0.01223791390657425,,0.006925859488546848,,0.9639329314231873,,,
43,6203,,,,,,,,,,0.022239498794078827,0.008198192343115807,0.936762809753418
43,6203,,,,0.023364534601569176,,0.008409799076616764,,0.9319177865982056,,,,
44,6249,,,,,0.020226262509822845,,0.006431485526263714,,0.9286918044090271,,,
44,6299,,,,,0.02570977434515953,,0.00926658883690834,,0.9210516214370728,,,
44,6344,,,,,,,,,,0.022951968014240265,0.008552314713597298,0.934736967086792
44,6344,,,,0.024427255615592003,,0.008536163717508316,,0.9288095831871033,,,,
45,6349,,,,,0.017596563324332237,,0.007087096571922302,,0.9342526793479919,,,
45,6399,,,,,0.01661093160510063,,0.0073210708796978,,0.9550215005874634,,,
45,6449,,,,,0.06370140612125397,,0.015839682891964912,,0.8713050484657288,,,
45,6485,,,,,,,,,,0.03325606510043144,0.010545419529080391,0.9054376482963562
45,6485,,,,0.030110104009509087,,0.00931955873966217,,0.9122617244720459,,,,
46,6499,,,,,0.021373722702264786,,0.008274108171463013,,0.9449412822723389,,,
46,6549,,,,,0.007744154427200556,,0.0056584118865430355,,0.9724681973457336,,,
46,6599,,,,,0.02297244966030121,,0.008506237529218197,,0.9352352023124695,,,
46,6626,,,,,,,,,,0.0389540009200573,0.011298484168946743,0.88923579454422
46,6626,,,,0.021799808368086815,,0.008046040311455727,,0.9364772439002991,,,,
47,6649,,,,,0.018021104857325554,,0.007751596625894308,,0.9309822916984558,,,
47,6699,,,,,0.054546941071748734,,0.01293100230395794,,0.881899356842041,,,
47,6749,,,,,0.028035858646035194,,0.010087085887789726,,0.8869596719741821,,,
47,6767,,,,,,,,,,0.04144430160522461,0.012365970760583878,0.8821547031402588
47,6767,,,,0.03456640988588333,,0.010296579450368881,,0.8992968201637268,,,,
48,6799,,,,,0.027544785290956497,,0.009558599442243576,,0.9460077881813049,,,
48,6849,,,,,0.04257439821958542,,0.009394915774464607,,0.8844990730285645,,,
48,6899,,,,,0.01963990554213524,,0.008184078149497509,,0.9604169726371765,,,
48,6908,,,,,,,,,,0.039170585572719574,0.011324525810778141,0.8886198997497559
48,6908,,,,0.025049883872270584,,0.008516575209796429,,0.9270038604736328,,,,
49,6949,,,,,0.014607958495616913,,0.006467718631029129,,0.9529212117195129,,,
49,6999,,,,,0.024490416049957275,,0.00798021536320448,,0.9380546808242798,,,
