"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2017","57.48","57.48","57.82","56.61","4.20M","-0.64%"
"06/13/2017","57.85","56.76","58.12","56.70","3.97M","1.28%"
"06/12/2017","57.12","57.90","58.08","56.75","7.55M","-1.74%"
"06/09/2017","58.13","59.02","59.34","57.81","5.69M","-1.66%"
"06/08/2017","59.11","59.45","59.96","58.97","3.21M","-0.45%"
"06/07/2017","59.38","58.82","59.61","58.69","4.09M","1.45%"
"06/06/2017","58.53","59.50","59.57","58.42","4.26M","-1.66%"
"06/05/2017","59.52","59.82","59.87","59.18","3.51M","-0.25%"
"06/02/2017","59.67","60.30","60.35","59.23","4.70M","-1.04%"
"06/01/2017","60.30","59.36","60.34","59.17","3.45M","1.53%"
"05/31/2017","59.39","59.32","59.44","58.71","5.73M","0.19%"
"05/30/2017","59.28","58.80","59.82","58.70","5.33M","0.53%"
"05/26/2017","58.97","60.41","60.88","58.88","14.90M","-3.72%"
"05/25/2017","61.25","57.45","61.95","56.30","33.40M","21.48%"
"05/24/2017","50.42","51.51","51.83","50.29","7.89M","-2.19%"
"05/23/2017","51.55","51.86","52.12","51.17","3.37M","-0.39%"
"05/22/2017","51.75","51.51","51.91","51.45","3.68M","0.82%"
"05/19/2017","51.33","50.87","51.50","50.50","2.50M","1.38%"
"05/18/2017","50.63","50.85","51.33","50.36","3.23M","0.04%"
"05/17/2017","50.61","51.52","52.05","50.57","4.64M","-2.34%"
"05/16/2017","51.82","51.10","51.83","50.70","3.53M","1.29%"
"05/15/2017","51.16","51.30","51.60","50.99","2.53M","0.10%"
"05/12/2017","51.11","51.74","51.76","50.83","3.33M","-1.65%"
"05/11/2017","51.97","51.67","52.02","51.18","2.77M","-0.06%"
"05/10/2017","52.00","51.89","52.21","51.63","2.35M","0.35%"
"05/09/2017","51.82","51.89","52.03","51.73","1.98M","0.12%"
"05/08/2017","51.76","51.79","52.01","51.67","2.65M","0.27%"
"05/05/2017","51.62","51.13","51.66","50.97","2.81M","1.47%"
"05/04/2017","50.87","51.65","51.84","50.75","4.87M","-1.51%"
"05/03/2017","51.65","51.25","51.75","51.07","2.65M","0.27%"
"05/02/2017","51.51","51.50","51.74","51.24","3.40M","0.10%"
"05/01/2017","51.46","51.99","51.99","51.38","2.23M","-0.68%"
"04/28/2017","51.81","52.42","52.45","51.49","3.00M","-1.03%"
"04/27/2017","52.35","52.25","52.67","52.00","3.21M","0.19%"
"04/26/2017","52.25","51.84","52.57","51.82","2.88M","0.93%"
"04/25/2017","51.77","52.43","52.61","50.98","4.52M","1.21%"
"04/24/2017","51.15","51.00","51.41","50.71","2.69M","1.01%"
"04/21/2017","50.64","50.48","50.92","50.06","3.65M","0.22%"
"04/20/2017","50.53","49.82","50.87","49.67","4.85M","2.33%"
"04/19/2017","49.38","48.69","49.99","48.68","3.86M","1.77%"
"04/18/2017","48.52","48.36","49.31","48.16","2.95M","0.33%"
"04/17/2017","48.36","48.47","48.50","48.03","2.73M","0.19%"
"04/13/2017","48.27","48.33","48.73","48.24","3.17M","-0.19%"
"04/12/2017","48.36","48.66","48.67","48.29","2.17M","-0.60%"
"04/11/2017","48.65","48.58","48.77","48.17","2.76M","0.21%"
"04/10/2017","48.55","48.46","49.09","48.38","3.58M","0.68%"
"04/07/2017","48.22","48.00","48.31","47.68","4.59M","0.48%"
"04/06/2017","47.99","48.33","48.83","47.88","4.39M","0.04%"
"04/05/2017","47.97","48.80","48.94","47.94","2.95M","-1.40%"
"04/04/2017","48.65","48.40","48.79","48.16","5.65M","0.25%"
"04/03/2017","48.53","48.96","49.24","48.41","5.62M","-1.26%"
"03/31/2017","49.15","48.40","49.35","48.30","4.13M","1.15%"
"03/30/2017","48.59","47.70","48.69","47.63","3.24M","1.72%"
"03/29/2017","47.77","47.09","47.98","47.01","3.44M","1.70%"
"03/28/2017","46.97","46.24","47.05","46.02","3.25M","1.67%"
"03/27/2017","46.20","45.06","46.41","44.82","4.70M","3.01%"
"03/24/2017","44.85","44.59","45.10","44.56","2.55M","0.52%"
"03/23/2017","44.62","44.92","45.23","44.54","3.31M","-0.89%"
"03/22/2017","45.02","43.99","45.16","43.72","4.55M","2.18%"
"03/21/2017","44.06","45.60","45.65","43.74","7.11M","-3.27%"
"03/20/2017","45.55","45.42","45.73","45.02","5.88M","-0.42%"
"03/17/2017","45.74","44.72","45.77","44.61","6.91M","2.79%"
"03/16/2017","44.50","44.39","44.84","44.12","3.89M","0.20%"
"03/15/2017","44.41","44.04","44.54","43.75","3.41M","0.09%"
"03/14/2017","44.37","44.76","44.91","44.00","3.97M","-1.07%"
"03/13/2017","44.85","44.78","45.13","44.41","3.25M","0.11%"
"03/10/2017","44.80","44.92","45.18","44.51","3.83M","-0.09%"
"03/09/2017","44.84","45.12","45.31","44.70","2.62M","-0.58%"
"03/08/2017","45.10","44.50","45.45","44.48","4.11M","1.23%"
"03/07/2017","44.55","43.80","44.68","43.75","5.27M","1.50%"
"03/06/2017","43.89","44.61","44.63","43.87","5.06M","-1.70%"
"03/03/2017","44.65","44.75","44.90","44.23","6.45M","-0.45%"
"03/02/2017","44.85","42.22","45.10","42.22","13.47M","6.43%"
"03/01/2017","42.14","42.55","42.80","41.67","16.42M","-4.51%"
"02/28/2017","44.13","45.62","45.62","43.75","8.71M","-4.38%"
"02/27/2017","46.15","45.66","46.45","45.53","6.70M","1.29%"
"02/24/2017","45.56","44.34","45.78","44.16","6.79M","2.82%"
"02/23/2017","44.31","45.82","45.94","44.06","4.14M","-3.08%"
"02/22/2017","45.72","46.08","46.20","45.55","2.30M","-0.57%"
"02/21/2017","45.98","45.66","46.08","45.39","3.63M","1.64%"
"02/17/2017","45.24","45.22","45.53","44.73","3.02M","-0.29%"
"02/16/2017","45.37","45.87","46.23","45.14","3.20M","-1.20%"
"02/15/2017","45.92","45.43","46.10","45.26","4.13M","1.39%"
"02/14/2017","45.29","44.10","45.45","44.09","5.09M","3.00%"
"02/13/2017","43.97","44.92","45.09","43.96","3.79M","-1.59%"
"02/10/2017","44.68","44.96","45.00","44.30","2.43M","-0.11%"
"02/09/2017","44.73","44.05","45.12","43.83","3.70M","1.96%"
"02/08/2017","43.87","43.69","43.88","43.27","3.89M","0.78%"
"02/07/2017","43.53","44.13","44.30","43.45","3.83M","-0.98%"
"02/06/2017","43.96","44.73","45.17","43.86","4.15M","-1.72%"
"02/03/2017","44.73","44.48","45.26","44.26","4.53M","0.95%"
"02/02/2017","44.31","44.41","44.98","44.23","3.87M","-0.43%"
"02/01/2017","44.50","44.58","44.73","44.05","3.06M","-0.04%"
"01/31/2017","44.52","43.78","44.65","43.36","4.57M","0.68%"
"01/30/2017","44.22","43.42","44.30","43.29","3.42M","1.73%"
"01/27/2017","43.47","45.29","45.36","42.99","6.71M","-3.89%"
"01/26/2017","45.23","44.75","45.38","44.71","3.61M","1.25%"
"01/25/2017","44.67","44.49","44.95","44.45","3.13M","1.13%"
"01/24/2017","44.17","43.48","44.31","43.48","2.33M","1.45%"
"01/23/2017","43.54","43.24","43.72","42.83","2.52M","0.42%"
"01/20/2017","43.36","43.52","43.58","42.50","6.14M","-0.62%"
"01/19/2017","43.63","44.75","44.82","43.40","4.77M","-2.55%"
"01/18/2017","44.77","44.22","44.78","43.70","3.91M","-0.25%"
"01/17/2017","44.88","44.02","45.83","44.02","5.18M","2.40%"
"01/13/2017","43.83","44.13","44.37","43.76","3.70M","-0.90%"
"01/12/2017","44.23","43.78","44.24","43.50","4.09M","1.87%"
"01/11/2017","43.42","44.04","44.17","43.01","2.90M","-1.00%"
"01/10/2017","43.86","43.52","44.29","43.19","4.72M","1.20%"
"01/09/2017","43.34","42.91","43.81","42.80","5.40M","1.33%"
"01/06/2017","42.77","42.87","43.04","42.40","3.93M","0.30%"
"01/05/2017","42.64","42.75","42.81","41.79","5.83M","-2.58%"
"01/04/2017","43.77","43.34","44.18","43.31","4.75M","2.36%"
"01/03/2017","42.76","43.05","43.16","42.23","5.36M","0.21%"
"12/30/2016","42.67","43.31","43.65","42.34","3.71M","-0.93%"
"12/29/2016","43.07","43.67","44.23","42.71","4.84M","-1.46%"
"12/28/2016","43.71","44.99","45.00","43.12","4.64M","-2.32%"
"12/27/2016","44.75","44.96","45.38","44.64","2.64M","-0.04%"
"12/23/2016","44.77","45.02","45.37","44.32","3.82M","-0.73%"
"12/22/2016","45.10","46.94","47.23","44.74","6.50M","-3.67%"
"12/21/2016","46.82","46.90","47.48","46.61","3.53M","-0.93%"
"12/20/2016","47.26","46.64","47.53","46.63","4.26M","1.50%"
"12/19/2016","46.56","47.22","47.56","46.39","5.67M","-0.94%"
"12/16/2016","47.00","48.01","48.11","46.95","9.88M","-2.41%"
"12/15/2016","48.16","48.30","48.63","48.08","4.70M","-0.10%"
"12/14/2016","48.21","48.88","49.07","48.18","4.08M","-0.92%"
"12/13/2016","48.66","48.80","49.01","48.24","3.82M","-0.23%"
"12/12/2016","48.77","48.91","49.04","48.56","3.13M","-0.47%"
"12/09/2016","49.00","49.20","49.20","48.62","4.29M","-0.63%"
"12/08/2016","49.31","48.52","49.40","48.50","7.34M","1.63%"
"12/07/2016","48.52","47.36","48.57","47.36","5.97M","3.39%"
"12/06/2016","46.93","46.54","47.09","46.54","5.17M","0.23%"
"12/05/2016","46.82","46.06","47.71","46.06","8.52M","2.52%"
"12/02/2016","45.67","45.71","46.26","45.53","3.82M","0.48%"
"12/01/2016","45.45","45.55","46.06","45.30","5.02M","-0.55%"
"11/30/2016","45.70","45.37","46.02","45.07","5.05M","0.18%"
"11/29/2016","45.62","45.52","46.00","45.39","3.41M","0.64%"
"11/28/2016","45.33","46.58","46.64","45.27","7.11M","-2.68%"
"11/25/2016","46.58","47.00","47.17","46.28","2.72M","-0.81%"
"11/23/2016","46.96","46.55","47.29","46.37","5.31M","0.77%"
"11/22/2016","46.60","45.42","46.98","45.32","6.45M","2.08%"
"11/21/2016","45.65","45.08","46.14","44.83","7.41M","1.92%"
"11/18/2016","44.79","45.68","45.68","44.67","12.76M","-2.61%"
"11/17/2016","45.99","42.89","46.72","42.55","25.42M","13.70%"
"11/16/2016","40.45","39.75","40.60","39.43","11.82M","1.43%"
"11/15/2016","39.88","39.55","40.28","39.03","8.85M","-0.15%"
"11/14/2016","39.94","38.56","40.28","38.56","9.47M","4.12%"
"11/11/2016","38.36","38.69","39.07","37.65","14.52M","-4.05%"
"11/10/2016","39.98","39.16","40.07","39.15","6.32M","3.82%"
"11/09/2016","38.51","37.39","38.70","37.10","6.46M","1.37%"
"11/08/2016","37.99","37.87","38.44","37.87","6.11M","-2.76%"
"11/07/2016","39.07","38.71","39.18","38.70","3.41M","2.30%"
"11/04/2016","38.19","38.21","38.84","37.84","2.86M","0.21%"
"11/03/2016","38.11","38.35","38.75","37.97","5.65M","-0.73%"
"11/02/2016","38.39","38.34","38.87","38.16","3.41M","-0.72%"
"11/01/2016","38.67","38.93","39.09","38.36","2.92M","-0.62%"
"10/31/2016","38.91","38.78","39.21","38.66","2.90M","0.34%"
"10/28/2016","38.78","38.44","39.30","38.44","3.99M","0.78%"
"10/27/2016","38.48","39.40","39.41","38.36","3.70M","-2.06%"
"10/26/2016","39.29","39.04","39.50","38.80","2.53M","0.08%"
"10/25/2016","39.26","39.34","39.50","38.76","3.58M","-0.51%"
"10/24/2016","39.46","39.66","39.78","39.20","2.49M","0.00%"
"10/21/2016","39.46","39.29","39.63","39.18","2.24M","-0.05%"
"10/20/2016","39.48","39.46","39.89","39.40","3.17M","-0.18%"
"10/19/2016","39.55","39.62","39.65","39.00","3.62M","0.33%"
"10/18/2016","39.42","39.77","39.94","39.35","3.41M","-0.13%"
"10/17/2016","39.47","39.16","40.09","38.72","5.26M","0.41%"
"10/14/2016","39.31","39.82","40.21","39.29","4.65M","-1.31%"
"10/13/2016","39.83","39.45","39.98","38.76","6.62M","0.15%"
"10/12/2016","39.77","38.84","39.98","38.64","6.87M","3.76%"
"10/11/2016","38.33","38.80","39.02","38.30","3.88M","-1.49%"
"10/10/2016","38.91","39.18","39.59","38.70","3.56M","0.03%"
"10/07/2016","38.90","38.43","39.25","38.20","6.89M","1.89%"
"10/06/2016","38.18","37.73","38.28","37.62","3.66M","0.77%"
"10/05/2016","37.89","38.12","38.38","37.89","3.64M","-0.24%"
"10/04/2016","37.98","38.18","38.72","37.88","2.86M","-0.52%"
"10/03/2016","38.18","38.15","38.55","37.87","3.61M","0.00%"
"09/30/2016","38.18","37.66","38.44","37.51","4.88M","2.06%"
"09/29/2016","37.41","37.72","38.07","37.38","3.20M","-0.72%"
"09/28/2016","37.68","38.25","38.25","37.45","4.27M","-1.49%"
"09/27/2016","38.25","37.65","38.31","37.60","3.48M","1.97%"
"09/26/2016","37.51","37.84","37.98","37.45","4.48M","-1.26%"
"09/23/2016","37.99","38.32","38.77","37.88","3.93M","-1.25%"
"09/22/2016","38.47","38.46","38.87","38.35","3.78M","0.52%"
"09/21/2016","38.27","38.09","38.28","37.73","2.95M","1.19%"
"09/20/2016","37.82","38.21","38.38","37.77","3.64M","-0.84%"
"09/19/2016","38.14","38.10","38.45","38.03","5.65M","0.37%"
"09/16/2016","38.00","37.66","38.08","37.47","5.39M","0.85%"
"09/15/2016","37.68","37.48","37.96","37.22","4.56M","0.05%"
"09/14/2016","37.66","37.50","38.04","37.22","5.91M","0.51%"
"09/13/2016","37.47","37.20","38.02","37.11","6.18M","0.48%"
"09/12/2016","37.29","36.64","37.45","36.51","5.76M","1.14%"
"09/09/2016","36.87","37.27","37.73","36.87","5.07M","-2.77%"
"09/08/2016","37.92","38.44","38.50","37.81","6.20M","-1.74%"
"09/07/2016","38.59","38.31","38.64","38.17","5.92M","0.92%"
"09/06/2016","38.24","38.65","38.81","38.05","4.07M","-1.32%"
"09/02/2016","38.75","38.54","39.26","38.31","3.62M","0.54%"
"09/01/2016","38.54","38.55","38.78","37.97","5.32M","0.16%"
"08/31/2016","38.48","38.93","39.06","38.23","6.06M","-1.08%"
"08/30/2016","38.90","38.97","39.31","38.90","3.77M","-0.31%"
"08/29/2016","39.02","39.46","39.51","38.87","5.67M","-1.17%"
"08/26/2016","39.48","39.72","39.78","39.23","5.54M","-0.08%"
"08/25/2016","39.51","38.99","39.59","38.67","7.80M","0.03%"
"08/24/2016","39.50","39.20","40.58","38.97","20.95M","0.69%"
"08/23/2016","39.23","38.36","39.36","37.66","40.48M","19.60%"
"08/22/2016","32.80","32.63","33.60","32.48","11.43M","0.64%"
"08/19/2016","32.59","32.84","32.86","32.20","7.10M","-1.84%"
"08/18/2016","33.20","33.50","33.59","32.95","5.33M","-0.30%"
"08/17/2016","33.30","33.47","33.68","32.80","6.48M","-2.94%"
"08/16/2016","34.31","34.50","34.58","34.26","2.95M","-0.58%"
"08/15/2016","34.51","34.22","34.97","34.10","4.80M","-1.03%"
"08/12/2016","34.87","34.47","35.46","34.26","6.46M","0.72%"
"08/11/2016","34.62","34.20","34.78","34.09","4.74M","2.64%"
"08/10/2016","33.73","33.75","34.04","33.59","3.29M","0.51%"
"08/09/2016","33.56","34.12","34.29","33.53","4.00M","-1.70%"
"08/08/2016","34.14","34.35","34.59","34.11","3.39M","-0.32%"
"08/05/2016","34.25","33.66","34.26","33.61","4.22M","2.39%"
"08/04/2016","33.45","33.40","33.86","33.19","2.72M","0.12%"
"08/03/2016","33.41","32.65","33.47","32.02","4.11M","1.67%"
"08/02/2016","32.86","33.50","33.50","32.55","4.72M","-1.82%"
"08/01/2016","33.47","33.41","33.60","33.08","3.65M","-0.39%"
"07/29/2016","33.60","33.24","33.63","33.03","3.93M","0.96%"
"07/28/2016","33.28","33.07","33.40","32.62","4.54M","0.42%"
"07/27/2016","33.14","32.84","33.31","32.69","4.92M","-0.15%"
"07/26/2016","33.19","32.50","33.27","32.50","5.00M","2.22%"
"07/25/2016","32.47","32.14","32.51","31.97","3.28M","1.03%"
"07/22/2016","32.14","32.15","32.47","31.91","3.52M","-0.43%"
"07/21/2016","32.28","31.84","32.63","31.71","4.67M","1.54%"
"07/20/2016","31.79","31.81","31.97","31.70","2.58M","0.32%"
"07/19/2016","31.69","31.96","32.03","31.57","2.90M","-0.91%"
"07/18/2016","31.98","31.51","32.15","31.49","3.22M","1.91%"
"07/15/2016","31.38","31.82","31.82","31.01","4.09M","-1.20%"
"07/14/2016","31.76","31.67","31.93","31.49","4.72M","1.15%"
"07/13/2016","31.40","31.54","31.77","30.93","5.33M","-0.41%"
"07/12/2016","31.53","31.52","32.00","31.49","3.94M","0.90%"
"07/11/2016","31.25","30.97","31.53","30.97","2.79M","0.97%"
"07/08/2016","30.95","30.97","31.21","30.70","3.70M","1.14%"
"07/07/2016","30.60","30.51","30.79","30.42","3.29M","-0.10%"
"07/06/2016","30.63","30.14","30.64","29.79","4.96M","0.89%"
"07/05/2016","30.36","31.23","31.46","30.15","4.92M","-3.19%"
"07/01/2016","31.36","30.66","31.64","30.66","4.11M","2.48%"
"06/30/2016","30.60","30.49","30.81","30.17","3.59M","0.33%"
"06/29/2016","30.50","30.51","30.74","30.20","4.96M","1.60%"
"06/28/2016","30.02","29.63","30.27","29.51","3.91M","2.21%"
"06/27/2016","29.37","29.96","30.10","29.05","3.96M","-2.59%"
"06/24/2016","30.15","29.65","30.34","29.50","4.19M","-0.92%"
"06/23/2016","30.43","30.36","30.89","30.25","3.34M","1.26%"
"06/22/2016","30.05","30.07","30.23","29.91","3.59M","-0.03%"
"06/21/2016","30.06","30.46","30.59","30.01","4.07M","-1.05%"
"06/20/2016","30.38","30.64","30.95","30.34","4.23M","0.26%"
"06/17/2016","30.30","29.67","30.95","29.54","7.64M","2.12%"
"06/16/2016","29.67","29.18","29.84","28.94","6.01M","1.12%"
"06/15/2016","29.34","28.80","29.85","28.76","7.02M","0.58%"
"06/14/2016","29.17","29.29","29.64","28.80","6.14M","-0.58%"
"06/13/2016","29.34","29.40","29.75","29.24","5.93M","-0.34%"
"06/10/2016","29.44","29.62","29.66","28.88","6.61M","-2.19%"
"06/09/2016","30.10","31.33","31.34","30.04","6.13M","-4.20%"
"06/08/2016","31.42","31.78","31.80","31.36","3.35M","-0.54%"
"06/07/2016","31.59","31.45","31.79","31.20","4.84M","0.83%"
"06/06/2016","31.33","32.00","32.05","30.76","8.11M","-3.15%"
"06/03/2016","32.35","32.36","32.48","31.79","2.89M","-0.34%"
"06/02/2016","32.46","32.15","32.68","32.05","3.80M","0.74%"
"06/01/2016","32.22","32.17","32.50","32.02","3.72M","0.16%"
"05/31/2016","32.17","32.23","32.36","31.97","5.01M","0.44%"
"05/27/2016","32.03","31.93","32.31","31.88","4.52M","0.25%"
"05/26/2016","31.95","32.35","32.60","31.79","6.11M","-0.37%"
"05/25/2016","32.07","30.30","32.25","30.26","13.46M","4.98%"
"05/24/2016","30.55","31.27","31.74","30.05","30.03M","-7.42%"
"05/23/2016","33.00","32.56","33.22","32.36","9.78M","2.04%"
"05/20/2016","32.34","31.50","32.41","31.50","4.73M","2.57%"
"05/19/2016","31.53","30.80","31.56","30.77","4.94M","2.54%"
"05/18/2016","30.75","30.89","31.25","30.35","7.43M","-3.57%"
"05/17/2016","31.89","31.74","32.66","31.61","4.50M","0.54%"
"05/16/2016","31.72","30.93","31.99","30.92","3.89M","2.49%"
"05/13/2016","30.95","30.84","31.73","30.74","4.52M","-0.96%"
"05/12/2016","31.25","31.68","31.72","30.85","4.09M","-0.89%"
"05/11/2016","31.53","32.69","32.69","31.45","4.01M","-4.37%"
"05/10/2016","32.97","32.71","33.06","32.24","3.57M","0.95%"
"05/09/2016","32.66","32.02","32.74","31.92","3.31M","2.13%"
"05/06/2016","31.98","31.83","32.25","31.46","2.72M","1.17%"
"05/05/2016","31.61","31.34","31.70","30.97","3.48M","0.35%"
"05/04/2016","31.50","31.59","31.80","31.19","2.98M","-0.76%"
"05/03/2016","31.74","32.07","32.07","31.30","3.45M","-1.64%"
"05/02/2016","32.27","32.29","32.49","31.59","3.12M","0.59%"
"04/29/2016","32.08","32.59","32.71","31.87","2.90M","-1.75%"
"04/28/2016","32.65","33.19","33.43","32.57","2.50M","-2.48%"
"04/27/2016","33.48","32.32","33.66","32.20","4.88M","1.00%"
"04/26/2016","33.15","32.56","33.20","32.53","2.03M","2.09%"
"04/25/2016","32.47","32.98","33.06","32.37","3.21M","-2.26%"
"04/22/2016","33.22","32.87","33.38","32.85","2.05M","1.10%"
"04/21/2016","32.86","33.09","33.47","32.84","2.90M","-0.79%"
"04/20/2016","33.12","32.96","33.37","32.80","3.47M","0.67%"
"04/19/2016","32.90","32.75","33.13","32.67","2.66M","0.37%"
"04/18/2016","32.78","32.28","32.87","32.28","2.53M","1.17%"
"04/15/2016","32.40","32.35","32.73","32.24","3.87M","0.22%"
"04/14/2016","32.33","32.23","32.49","31.93","3.50M","0.53%"
"04/13/2016","32.16","30.96","32.20","30.96","5.15M","4.35%"
"04/12/2016","30.82","30.62","30.83","29.81","4.84M","0.92%"
"04/11/2016","30.54","30.10","30.84","30.10","3.56M","1.43%"
"04/08/2016","30.11","30.31","30.54","30.05","2.81M","-0.36%"
"04/07/2016","30.22","31.07","31.23","30.09","4.01M","-2.99%"
"04/06/2016","31.15","31.15","31.23","30.88","3.44M","-0.22%"
"04/05/2016","31.22","31.80","31.91","31.20","3.12M","-2.13%"
"04/04/2016","31.90","32.15","32.56","31.89","3.59M","-0.68%"
"04/01/2016","32.12","32.17","32.38","31.60","4.08M","-0.99%"
"03/31/2016","32.44","31.93","32.98","31.92","6.36M","2.76%"
"03/30/2016","31.57","31.65","32.03","31.40","3.08M","-0.41%"
"03/29/2016","31.70","31.72","31.76","31.18","4.11M","1.02%"
"03/28/2016","31.38","31.29","31.71","31.24","2.85M","0.29%"
"03/24/2016","31.29","31.44","31.66","31.00","3.01M","-0.41%"
"03/23/2016","31.42","32.00","32.00","31.39","2.55M","-1.13%"
"03/22/2016","31.78","32.25","32.30","31.51","3.85M","-1.33%"
"03/21/2016","32.21","32.36","32.58","32.05","3.34M","-0.95%"
"03/18/2016","32.52","32.35","32.56","32.16","7.62M","0.87%"
"03/17/2016","32.24","31.86","32.57","31.60","7.59M","0.62%"
"03/16/2016","32.04","31.78","32.17","31.63","5.59M","0.79%"
"03/15/2016","31.79","32.56","32.67","31.70","7.21M","-3.67%"
"03/14/2016","33.00","33.37","33.57","32.91","6.04M","-1.96%"
"03/11/2016","33.66","34.11","34.13","33.37","4.99M","-0.71%"
"03/10/2016","33.90","33.89","33.99","33.30","4.65M","0.65%"
"03/09/2016","33.68","33.88","33.98","33.38","3.66M","0.30%"
"03/08/2016","33.58","34.07","34.48","33.30","4.94M","-0.91%"
"03/07/2016","33.89","32.94","34.13","32.80","3.89M","2.32%"
"03/04/2016","33.12","32.91","33.51","32.73","4.13M","0.15%"
"03/03/2016","33.07","32.82","33.11","32.27","4.40M","1.29%"
"03/02/2016","32.65","32.62","32.79","32.00","4.23M","0.15%"
"03/01/2016","32.60","32.31","32.63","31.90","4.98M","2.03%"
"02/29/2016","31.95","32.06","32.39","31.64","4.33M","-0.19%"
"02/26/2016","32.01","31.69","32.22","30.96","6.97M","0.63%"
"02/25/2016","31.81","31.77","32.02","30.07","10.23M","2.45%"
"02/24/2016","31.05","29.86","31.17","28.99","8.07M","1.80%"
"02/23/2016","30.50","30.55","31.03","30.26","5.16M","0.59%"
"02/22/2016","30.32","29.64","30.78","29.63","5.46M","2.61%"
"02/19/2016","29.55","29.40","29.86","28.96","8.60M","-2.60%"
"02/18/2016","30.34","29.29","30.49","29.18","6.30M","2.33%"
"02/17/2016","29.65","29.40","29.92","29.29","5.14M","1.89%"
"02/16/2016","29.10","27.96","29.18","27.64","6.46M","4.90%"
"02/12/2016","27.74","26.04","27.81","25.75","6.54M","4.40%"
"02/11/2016","26.57","26.61","27.03","26.36","6.68M","-1.34%"
"02/10/2016","26.93","27.56","27.82","26.83","6.43M","-2.21%"
"02/09/2016","27.54","28.10","28.44","27.14","5.33M","-2.44%"
"02/08/2016","28.23","27.60","28.44","27.57","6.39M","1.47%"
"02/05/2016","27.82","27.90","28.27","27.40","4.41M","-0.57%"
"02/04/2016","27.98","27.45","28.15","27.13","4.90M","0.11%"
"02/03/2016","27.95","27.91","28.07","27.14","3.93M","0.07%"
"02/02/2016","27.93","28.05","28.25","27.54","4.02M","-0.92%"
"02/01/2016","28.19","27.47","28.31","27.29","4.63M","2.32%"
"01/29/2016","27.55","26.83","27.76","26.80","5.84M","3.53%"
"01/28/2016","26.61","26.97","27.19","26.54","5.50M","-1.08%"
"01/27/2016","26.90","27.58","28.05","26.83","5.80M","-2.75%"
"01/26/2016","27.66","26.77","27.75","26.66","4.16M","3.56%"
"01/25/2016","26.71","26.83","27.06","26.55","5.65M","-0.71%"
"01/22/2016","26.90","27.31","27.62","26.71","4.39M","-0.04%"
"01/21/2016","26.91","26.25","27.32","26.10","6.32M","2.83%"
"01/20/2016","26.17","25.35","26.54","25.08","7.80M","2.55%"
"01/19/2016","25.52","26.69","26.74","25.06","10.11M","-4.60%"
"01/15/2016","26.75","25.01","26.99","24.97","15.11M","2.61%"
"01/14/2016","26.07","26.72","26.87","25.27","20.10M","-9.70%"
"01/13/2016","28.87","29.74","29.91","28.70","6.17M","-2.86%"
"01/12/2016","29.72","29.21","29.92","28.99","4.75M","2.38%"
"01/11/2016","29.03","28.69","29.19","28.58","5.85M","1.65%"
"01/08/2016","28.56","29.34","29.38","28.25","7.06M","-4.23%"
"01/07/2016","29.82","29.16","30.26","28.98","5.96M","0.91%"
"01/06/2016","29.55","30.12","30.32","29.34","8.34M","-3.84%"
"01/05/2016","30.73","30.31","30.78","30.08","4.73M","1.62%"
"01/04/2016","30.24","29.44","30.66","29.36","6.34M","0.67%"
