iter	MultiClass
143	2.002983095
144	1.997936101
145	1.990416432
146	1.981466488
147	1.97265757
148	1.964235867
149	1.956396086
150	1.949345255
151	1.942047795
152	1.933092571
153	1.928169002
154	1.919887664
155	1.912204309
156	1.905659717
157	1.898475561
158	1.892587035
159	1.8864532
160	1.879255403
161	1.872839077
162	1.865866129
163	1.858758976
164	1.851678664
165	1.84661033
166	1.84062236
167	1.835857087
168	1.829186101
169	1.822242524
170	1.816308896
171	1.810561836
172	1.803971813
173	1.798395698
174	1.794138645
175	1.786596975
176	1.779488612
177	1.772253525
178	1.769649505
179	1.762705708
180	1.758721465
181	1.753027536
182	1.746236975
183	1.740339869
184	1.731743809
185	1.725640335
186	1.719964557
187	1.712840353
188	1.707977616
189	1.704618747
190	1.698088237
191	1.693970558
192	1.688439876
193	1.681597943
194	1.676066711
195	1.672417651
196	1.667375387
197	1.660310696
198	1.653334558
199	1.647368039
200	1.64035516
201	1.633534458
202	1.626693185
203	1.619204427
204	1.613409185
205	1.60755212
206	1.602834479
207	1.598631327
208	1.593592034
209	1.589340811
210	1.584822497
211	1.578786015
212	1.572314687
213	1.566073707
214	1.560785034
215	1.555545093
216	1.549516531
217	1.543923037
218	1.538202707
219	1.533967544
220	1.528160311
221	1.522783965
222	1.51614169
223	1.508288708
224	1.504449891
225	1.499302353
226	1.495586961
227	1.489424304
228	1.485170771
229	1.478826057
230	1.472585957
231	1.467210161
232	1.463205017
233	1.457849681
234	1.45312929
235	1.448582266
236	1.444386484
237	1.440815637
238	1.436485541
239	1.431451198
240	1.427143542
241	1.42058278
242	1.417371977
243	1.41198067
244	1.408427974
245	1.405908547
246	1.401337871
247	1.396508466
248	1.39349743
249	1.389684904
250	1.386646367
251	1.380715269
252	1.378321908
253	1.374060344
254	1.371834628
255	1.367687029
256	1.363678255
257	1.3601689
258	1.356584083
259	1.350186017
260	1.347772414
261	1.344636304
262	1.339720655
263	1.333957094
264	1.329615557
265	1.324518292
266	1.320633492
267	1.314723625
268	1.310922319
269	1.307172165
270	1.302498966
271	1.298161829
272	1.294556551
273	1.29063732
274	1.285619258
275	1.282409555
276	1.279443071
277	1.275422086
278	1.271752675
279	1.267494412
280	1.262288572
281	1.25650389
282	1.251721126
283	1.248198791
284	1.241885428
285	1.23879321
286	1.23594916
287	1.232116173
288	1.229539874
289	1.225565092
290	1.22135292
291	1.218437368
292	1.216303506
293	1.212429047
294	1.206656026
295	1.202529767
296	1.199772621
297	1.195120653
298	1.19297381
299	1.189006508
300	1.185803625
301	1.18124109
302	1.178263275
303	1.173848146
304	1.169056142
305	1.16510644
306	1.162225759
307	1.157093072
308	1.151781518
309	1.148553994
310	1.145124283
311	1.141269625
312	1.136841955
313	1.133210825
314	1.129016364
315	1.124238111
316	1.119086943
317	1.116813376
318	1.114404063
319	1.110175391
320	1.107083942
321	1.104130439
322	1.09973676
323	1.096917792
324	1.093070504
325	1.090186413
326	1.085809675
327	1.082508118
328	1.078031496
329	1.075112754
330	1.0718706
331	1.065724994
332	1.063582332
333	1.060487913
334	1.05677296
335	1.053452373
336	1.049426548
337	1.046308038
338	1.04375792
339	1.041790825
340	1.037895355
341	1.035060546
342	1.031333603
343	1.029242093
344	1.02733572
345	1.023878617
346	1.021667862
347	1.018651986
348	1.015991094
349	1.012121585
350	1.007221667
351	1.003167792
352	1.000214508
353	0.9968822603
354	0.995026819
355	0.9913494878
356	0.9884261256
357	0.9853876989
358	0.980651907
359	0.9790304448
360	0.9761038924
361	0.9734065888
362	0.9704978571
363	0.968359375
364	0.9658820799
365	0.9639215846
366	0.9607635833
367	0.9563889353
368	0.952890251
369	0.949062654
370	0.9452651982
371	0.9427671123
372	0.9400110664
373	0.9373613947
374	0.9339283828
375	0.9315165402
376	0.9284071608
377	0.9259543966
378	0.923540574
379	0.9202897291
380	0.9180957499
381	0.915755905
382	0.9130784572
383	0.9113962726
384	0.9091503164
385	0.90677175
386	0.9046890951
387	0.9024689898
388	0.9008703534
389	0.8986848995
390	0.8960083317
391	0.8936407108
392	0.8908057369
393	0.8873678849
394	0.8853315967
395	0.8827670133
396	0.8795802459
397	0.8755507361
398	0.8726489347
399	0.869506169
400	0.8665771966
401	0.8646823738
402	0.8623206381
403	0.8598100117
404	0.8580341035
405	0.8555112116
406	0.8540559107
407	0.8522556366
408	0.8494629594
409	0.8476439845
410	0.8447605538
411	0.8416214733
412	0.8393119896
413	0.837058333
414	0.8335116868
415	0.8301379123
416	0.8280036653
417	0.8257097473
418	0.8227715894
419	0.8206398176
420	0.8175796101
421	0.8154440981
422	0.8131940167
423	0.8108020848
424	0.8087877424
425	0.8064685784
426	0.8041901159
427	0.8013891883
428	0.7995144414
429	0.7965926742
430	0.7948781483
431	0.7931086204
432	0.7908705844
433	0.7888142755
434	0.7875211758
435	0.7852118021
436	0.7841837027
437	0.7822483983
438	0.7793643626
439	0.7781196098
440	0.7761595545
441	0.7738666815
442	0.7718210979
443	0.7696565448
444	0.7676944545
445	0.7656050892
446	0.7621670172
447	0.7595196006
448	0.7573031254
449	0.7558428744
450	0.7536284893
451	0.7512422227
452	0.7486932048
453	0.7456017011
454	0.7444692076
455	0.7416314286
456	0.7390278487
457	0.7366981242
458	0.7345942384
459	0.7316449702
460	0.7302227806
461	0.7286855815
462	0.7272902879
463	0.7255574464
464	0.7243805662
465	0.7221760266
466	0.7208161543
467	0.7183577249
468	0.7155757181
469	0.7141896099
470	0.7115780546
471	0.7100035091
472	0.7078243805
473	0.7053441702
474	0.7034582028
475	0.7002367291
476	0.6984727014
477	0.6972761854
478	0.695026654
479	0.6939267768
480	0.691224138
481	0.6890786706
482	0.6875706777
483	0.6859822717
484	0.6846995675
485	0.6831337123
486	0.6818392926
487	0.6794300901
488	0.677368666
489	0.6757754198
